number,name,position_lat,position_lng,available_bikes,available_bike_stands,rounded_last_update,temp,feels_like,humidity,rain_1h,weather_desc,weather_brief,wind_speed,weatherid
1,CLARENDON ROW,53.3409,-6.2625,0,31,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
1,CLARENDON ROW,53.3409,-6.2625,0,31,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
1,CLARENDON ROW,53.3409,-6.2625,0,31,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
1,CLARENDON ROW,53.3409,-6.2625,0,31,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
2,BLESSINGTON STREET,53.3568,-6.26814,14,6,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
2,BLESSINGTON STREET,53.3568,-6.26814,14,6,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
2,BLESSINGTON STREET,53.3568,-6.26814,14,6,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
2,BLESSINGTON STREET,53.3568,-6.26814,14,6,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
3,BOLTON STREET,53.3512,-6.26986,12,8,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
3,BOLTON STREET,53.3512,-6.26986,12,8,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
3,BOLTON STREET,53.3512,-6.26986,12,8,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
3,BOLTON STREET,53.3512,-6.26986,12,8,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
4,GREEK STREET,53.3469,-6.27298,9,11,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
